source,target,seed,protocol,n,n_positive,base_rate,pr_auc,lift,evaluable,pred_file
cert42,cert42,0,user_disjoint,98167,239,0.0024346267075493,0.6409158176873138,263.25013838874696,True,rf\predictions\rf_cert42_to_cert42_user_disjoint_seed0.parquet
cert42,cert42,0,temporal,98781,292,0.002956034055132,0.6633383255255135,224.40144908813613,True,rf\predictions\rf_cert42_to_cert42_temporal_seed0.parquet
cert42,cert52,0,full_source,693649,1307,0.0018842382818976,0.2498472978518516,132.5985679476963,True,rf\predictions\rf_cert42_to_cert52_full_source_seed0.parquet
cert42,cert62,0,full_source,1394010,44,3.156361862540441e-05,0.0002471814265508,7.83121319150337,True,rf\predictions\rf_cert42_to_cert62_full_source_seed0.parquet
cert42,spedia,0,full_source,256,82,0.3203125,0.2931504436427848,0.915201385031133,True,rf\predictions\rf_cert42_to_spedia_full_source_seed0.parquet
cert42,lanl,0,full_source,389323,158,0.0004058326890525,0.0008977322006789,2.212074642815976,True,rf\predictions\rf_cert42_to_lanl_full_source_seed0.parquet
cert52,cert52,0,user_disjoint,207867,414,0.0019916581275527,0.6448814073160885,323.79121617046707,True,rf\predictions\rf_cert52_to_cert52_user_disjoint_seed0.parquet
cert52,cert52,0,temporal,207090,475,0.0022936887343667,0.8167514380701382,356.08643223146294,True,rf\predictions\rf_cert52_to_cert52_temporal_seed0.parquet
cert52,cert42,0,full_source,330452,966,0.0029232687349448,0.3953147461033932,135.23038144861127,True,rf\predictions\rf_cert52_to_cert42_full_source_seed0.parquet
cert52,cert62,0,full_source,1394010,44,3.156361862540441e-05,0.0280080390459934,887.3519661478484,True,rf\predictions\rf_cert52_to_cert62_full_source_seed0.parquet
cert52,spedia,0,full_source,256,82,0.3203125,0.4075270206990515,1.2722794792555754,True,rf\predictions\rf_cert52_to_spedia_full_source_seed0.parquet
cert52,lanl,0,full_source,389323,158,0.0004058326890525,0.000798070489134,1.9665012470959,True,rf\predictions\rf_cert52_to_lanl_full_source_seed0.parquet
cert62,cert62,0,user_disjoint,420091,9,2.142392957716304e-05,0.0001614936354076,7.538002532446977,True,rf\predictions\rf_cert62_to_cert62_user_disjoint_seed0.parquet
cert62,cert62,0,temporal,415219,38,9.151797003508992e-05,0.0002087268272829,2.2807195920423067,True,rf\predictions\rf_cert62_to_cert62_temporal_seed0.parquet
cert62,cert42,0,full_source,330452,966,0.0029232687349448,0.0163020602291224,5.576654665459605,True,rf\predictions\rf_cert62_to_cert42_full_source_seed0.parquet
cert62,cert52,0,full_source,693649,1307,0.0018842382818976,0.1494318184626803,79.30622145739841,True,rf\predictions\rf_cert62_to_cert52_full_source_seed0.parquet
cert62,spedia,0,full_source,256,82,0.3203125,0.3113350232453248,0.9719727554975996,True,rf\predictions\rf_cert62_to_spedia_full_source_seed0.parquet
cert62,lanl,0,full_source,389323,158,0.0004058326890525,0.0004046081151438,0.9969825646339128,True,rf\predictions\rf_cert62_to_lanl_full_source_seed0.parquet
spedia,spedia,0,user_disjoint,76,27,0.3552631578947368,0.9728811422370198,2.7384802522227227,True,rf\predictions\rf_spedia_to_spedia_user_disjoint_seed0.parquet
spedia,spedia,0,temporal,76,30,0.3947368421052631,0.9942391506926176,2.518739181754631,True,rf\predictions\rf_spedia_to_spedia_temporal_seed0.parquet
spedia,cert42,0,full_source,330452,966,0.0029232687349448,0.0077418412091564,2.6483508398013984,True,rf\predictions\rf_spedia_to_cert42_full_source_seed0.parquet
spedia,cert52,0,full_source,693649,1307,0.0018842382818976,0.0040846662824716,2.16780771397871,True,rf\predictions\rf_spedia_to_cert52_full_source_seed0.parquet
spedia,cert62,0,full_source,1394010,44,3.156361862540441e-05,0.0001929152400121,6.111949402940162,True,rf\predictions\rf_spedia_to_cert62_full_source_seed0.parquet
spedia,lanl,0,full_source,389323,158,0.0004058326890525,0.000812155574157,2.0012078771995885,True,rf\predictions\rf_spedia_to_lanl_full_source_seed0.parquet
lanl,lanl,0,user_disjoint,115297,48,0.0004163161227091,0.0007404409877523,1.7785546784351554,True,rf\predictions\rf_lanl_to_lanl_user_disjoint_seed0.parquet
lanl,lanl,0,temporal,116299,0,0.0,,,False,
lanl,cert42,0,full_source,330452,966,0.0029232687349448,0.003033842524688,1.037825393341845,True,rf\predictions\rf_lanl_to_cert42_full_source_seed0.parquet
lanl,cert52,0,full_source,693649,1307,0.0018842382818976,0.0019100648391295,1.0137066301433832,True,rf\predictions\rf_lanl_to_cert52_full_source_seed0.parquet
lanl,cert62,0,full_source,1394010,44,3.156361862540441e-05,3.103074126770443e-05,0.9831173553316512,True,rf\predictions\rf_lanl_to_cert62_full_source_seed0.parquet
lanl,spedia,0,full_source,256,82,0.3203125,0.3245136469221835,1.0131157757570608,True,rf\predictions\rf_lanl_to_spedia_full_source_seed0.parquet
cert42,cert42,1,user_disjoint,98782,245,0.0024802089449494,0.481798934442675,194.2573973147605,True,rf\predictions\rf_cert42_to_cert42_user_disjoint_seed1.parquet
cert42,cert42,1,temporal,98781,292,0.002956034055132,0.6691067128845192,226.35284316933456,True,rf\predictions\rf_cert42_to_cert42_temporal_seed1.parquet
cert42,cert52,1,full_source,693649,1307,0.0018842382818976,0.2498193634210497,132.5837426301819,True,rf\predictions\rf_cert42_to_cert52_full_source_seed1.parquet
cert42,cert62,1,full_source,1394010,44,3.156361862540441e-05,0.0002792197611983,8.846253166093964,True,rf\predictions\rf_cert42_to_cert62_full_source_seed1.parquet
cert42,spedia,1,full_source,256,82,0.3203125,0.3486887446622965,1.0885892516286328,True,rf\predictions\rf_cert42_to_spedia_full_source_seed1.parquet
cert42,lanl,1,full_source,389323,158,0.0004058326890525,0.00084453403243,2.080990652580684,True,rf\predictions\rf_cert42_to_lanl_full_source_seed1.parquet
cert52,cert52,1,user_disjoint,207972,379,0.0018223607024022,0.6331100967031187,347.4120660462823,True,rf\predictions\rf_cert52_to_cert52_user_disjoint_seed1.parquet
cert52,cert52,1,temporal,207090,475,0.0022936887343667,0.8163670014595308,355.9188259626405,True,rf\predictions\rf_cert52_to_cert52_temporal_seed1.parquet
cert52,cert42,1,full_source,330452,966,0.0029232687349448,0.4021883730228025,137.58173109951463,True,rf\predictions\rf_cert52_to_cert42_full_source_seed1.parquet
cert52,cert62,1,full_source,1394010,44,3.156361862540441e-05,0.0295184939971171,935.206268566394,True,rf\predictions\rf_cert52_to_cert62_full_source_seed1.parquet
cert52,spedia,1,full_source,256,82,0.3203125,0.3501855981138583,1.0932623550871674,True,rf\predictions\rf_cert52_to_spedia_full_source_seed1.parquet
cert52,lanl,1,full_source,389323,158,0.0004058326890525,0.0009696991010775,2.3894060957520624,True,rf\predictions\rf_cert52_to_lanl_full_source_seed1.parquet
cert62,cert62,1,user_disjoint,418962,1,2.386851313484278e-06,2.386851313484278e-06,1.0,True,rf\predictions\rf_cert62_to_cert62_user_disjoint_seed1.parquet
cert62,cert62,1,temporal,415219,38,9.151797003508992e-05,9.151797003508992e-05,1.0,True,rf\predictions\rf_cert62_to_cert62_temporal_seed1.parquet
cert62,cert42,1,full_source,330452,966,0.0029232687349448,0.009005422916779,3.080600428256164,True,rf\predictions\rf_cert62_to_cert42_full_source_seed1.parquet
cert62,cert52,1,full_source,693649,1307,0.0018842382818976,0.1386568361507644,73.58773966269439,True,rf\predictions\rf_cert62_to_cert52_full_source_seed1.parquet
cert62,spedia,1,full_source,256,82,0.3203125,0.2870096602196226,0.8960301587344315,True,rf\predictions\rf_cert62_to_spedia_full_source_seed1.parquet
cert62,lanl,1,full_source,389323,158,0.0004058326890525,0.0005482612652207,1.350953927592115,True,rf\predictions\rf_cert62_to_lanl_full_source_seed1.parquet
spedia,spedia,1,user_disjoint,81,18,0.2222222222222222,0.9744158189591626,4.384871185316232,True,rf\predictions\rf_spedia_to_spedia_user_disjoint_seed1.parquet
spedia,spedia,1,temporal,76,30,0.3947368421052631,0.990286159239626,2.508724936740386,True,rf\predictions\rf_spedia_to_spedia_temporal_seed1.parquet
spedia,cert42,1,full_source,330452,966,0.0029232687349448,0.0065704886416559,2.2476512552924444,True,rf\predictions\rf_spedia_to_cert42_full_source_seed1.parquet
spedia,cert52,1,full_source,693649,1307,0.0018842382818976,0.0028370016499676,1.5056490876039854,True,rf\predictions\rf_spedia_to_cert52_full_source_seed1.parquet
spedia,cert62,1,full_source,1394010,44,3.156361862540441e-05,0.0002604497479858,8.251580754312267,True,rf\predictions\rf_spedia_to_cert62_full_source_seed1.parquet
spedia,lanl,1,full_source,389323,158,0.0004058326890525,0.0008334070700426,2.0535730425961973,True,rf\predictions\rf_spedia_to_lanl_full_source_seed1.parquet
lanl,lanl,1,user_disjoint,116981,46,0.0003932262504167,0.0034055287022989,8.660481589644235,True,rf\predictions\rf_lanl_to_lanl_user_disjoint_seed1.parquet
lanl,lanl,1,temporal,116299,0,0.0,,,False,
lanl,cert42,1,full_source,330452,966,0.0029232687349448,0.0029089102450191,0.9950882073365134,True,rf\predictions\rf_lanl_to_cert42_full_source_seed1.parquet
lanl,cert52,1,full_source,693649,1307,0.0018842382818976,0.0019344498457638,1.0266482028035595,True,rf\predictions\rf_lanl_to_cert52_full_source_seed1.parquet
