model,source,protocol,pr_auc_mean,pr_auc_sd,lift_mean,base_rate,test_pos_mean,n_seeds_evaluable,label
random_forest,cert42,temporal,0.6660468405799477,0.002583724109634842,225.31771561413635,0.002956034055132,292.0,5,RF chronological
random_forest,cert42,user_disjoint,0.5496816080329119,0.07605544320510592,206.53284062761267,0.0027455907357087,272.4,5,RF user-disjoint
random_forest,cert52,temporal,0.8150389224057489,0.0014911444649624817,355.33981145475065,0.0022936887343667,475.0,5,RF chronological
random_forest,cert52,user_disjoint,0.6254060355240104,0.03968681870839228,317.272355104585,0.00197411075683676,410.0,5,RF user-disjoint
random_forest,cert62,temporal,0.000249465501983116,0.00023670043835257725,2.7258635859984888,9.151797003508992e-05,38.0,5,RF chronological
random_forest,cert62,user_disjoint,0.00010398585317219792,0.00014392148991206725,11.381361694003038,1.0961670002355294e-05,4.6,5,RF user-disjoint
random_forest,lanl,temporal,,,,0.0,0.0,0,RF chronological
random_forest,lanl,user_disjoint,0.0036057501226088398,0.0024620205253537307,9.023747677828663,0.00041993432854434,48.8,5,RF user-disjoint
random_forest,spedia,temporal,0.9924214733082735,0.0015102004946364028,2.5141343990476264,0.3947368421052631,30.0,5,RF chronological
random_forest,spedia,user_disjoint,0.9894593922392364,0.014443516764172713,2.664957324544828,0.4125229794452018,25.8,5,RF user-disjoint
