source,target,model,seed,n,n_positive,target_base_rate,pr_auc,base_rate_lift,wall_clock_s,peak_gpu_mb,peak_ram_gb,pred_file
cert42,spedia,day_gnn_strict_notime,0,256,82,0.3203125,0.3248971153578572,1.0143129455074569,1004.5,423.5,3.12,c2\predictions\predictions_gnn_cert42_spedia_seed0.csv
cert42,spedia,day_gnn_strict_notime,1,256,82,0.3203125,0.4364569409063238,1.36259727892706,962.0,423.5,1.57,c2\predictions\predictions_gnn_cert42_spedia_seed1.csv
cert42,spedia,day_gnn_strict_notime,2,256,82,0.3203125,0.5207876466093749,1.6258736284390245,397.7,423.5,1.62,c2\predictions\predictions_gnn_cert42_spedia_seed2.csv
cert42,spedia,day_gnn_strict_notime,3,256,82,0.3203125,0.4570013847264762,1.4267360303655845,984.3,423.5,1.64,c2\predictions\predictions_gnn_cert42_spedia_seed3.csv
cert42,spedia,day_gnn_strict_notime,4,256,82,0.3203125,0.4488310810789626,1.4012287409294444,980.3,423.5,1.66,c2\predictions\predictions_gnn_cert42_spedia_seed4.csv
cert42,spedia,random_forest,0,256,82,0.3203125,0.2931504436427848,0.915201385031133,11.9,64.0,3.27,c2\predictions\predictions_rf_cert42_spedia_seed0.csv
cert42,spedia,random_forest,1,256,82,0.3203125,0.3486887446622965,1.0885892516286328,10.7,64.0,1.8,c2\predictions\predictions_rf_cert42_spedia_seed1.csv
cert42,spedia,random_forest,2,256,82,0.3203125,0.3259006208038155,1.0174458405582532,10.8,64.0,1.66,c2\predictions\predictions_rf_cert42_spedia_seed2.csv
cert42,spedia,random_forest,3,256,82,0.3203125,0.301567408976163,0.941478740218265,10.9,64.0,1.85,c2\predictions\predictions_rf_cert42_spedia_seed3.csv
cert42,spedia,random_forest,4,256,82,0.3203125,0.3047004008641771,0.9512597880637724,10.9,64.0,1.86,c2\predictions\predictions_rf_cert42_spedia_seed4.csv
cert52,spedia,day_gnn_strict_notime,0,256,82,0.3203125,0.382349895782539,1.1936777234186584,2328.2,1045.0,0.37,c2\predictions\predictions_gnn_cert52_spedia_seed0.csv
cert52,spedia,day_gnn_strict_notime,1,256,82,0.3203125,0.3467418040436679,1.0825109979899876,2250.4,1045.0,4.76,c2\predictions\predictions_gnn_cert52_spedia_seed1.csv
cert52,spedia,day_gnn_strict_notime,2,256,82,0.3203125,0.3179410247349048,0.9925963699040932,2307.1,1045.0,4.77,c2\predictions\predictions_gnn_cert52_spedia_seed2.csv
cert52,spedia,day_gnn_strict_notime,3,256,82,0.3203125,0.3397482579152853,1.0606774881257688,783.2,1045.0,4.74,c2\predictions\predictions_gnn_cert52_spedia_seed3.csv
cert52,spedia,day_gnn_strict_notime,4,256,82,0.3203125,0.2746206876171329,0.8573523906095856,2299.8,1045.0,4.75,c2\predictions\predictions_gnn_cert52_spedia_seed4.csv
cert52,spedia,random_forest,0,256,82,0.3203125,0.4075270206990515,1.2722794792555754,35.7,64.0,1.54,c2\predictions\predictions_rf_cert52_spedia_seed0.csv
cert52,spedia,random_forest,1,256,82,0.3203125,0.3501855981138583,1.0932623550871674,31.7,64.0,4.99,c2\predictions\predictions_rf_cert52_spedia_seed1.csv
cert52,spedia,random_forest,2,256,82,0.3203125,0.34190193177079,1.0674011528453933,32.3,64.0,4.98,c2\predictions\predictions_rf_cert52_spedia_seed2.csv
cert52,spedia,random_forest,3,256,82,0.3203125,0.3544614081025143,1.1066112252956544,32.0,64.0,4.56,c2\predictions\predictions_rf_cert52_spedia_seed3.csv
cert52,spedia,random_forest,4,256,82,0.3203125,0.362746889336641,1.1324780935387817,32.2,64.0,4.98,c2\predictions\predictions_rf_cert52_spedia_seed4.csv
