domain,model,split,seed,n,n_positive,base_rate,PR_AUC,lift,evaluable,use_time_encoding,use_memory
cert42,random_forest,user_disjoint,0,98167,239,0.0024346267075493,0.6409158176873138,263.25013838874696,True,,
cert42,random_forest,chronological,0,98781,292,0.002956034055132,0.6633383255255135,224.40144908813613,True,,
cert52,random_forest,user_disjoint,0,207867,414,0.0019916581275527,0.6448814073160885,323.79121617046707,True,,
cert52,random_forest,chronological,0,207090,475,0.0022936887343667,0.8167514380701382,356.08643223146294,True,,
cert62,random_forest,user_disjoint,0,420091,9,2.142392957716304e-05,,,False,,
cert62,random_forest,chronological,0,415219,38,9.151797003508992e-05,,,False,,
spedia,random_forest,user_disjoint,0,76,27,0.3552631578947368,0.9728811422370198,2.7384802522227227,True,,
spedia,random_forest,chronological,0,76,30,0.3947368421052631,0.9942391506926176,2.518739181754631,True,,
lanl,random_forest,user_disjoint,0,115297,48,0.0004163161227091,0.0007404409877523,1.7785546784351554,True,,
lanl,random_forest,chronological,0,116299,0,0.0,,,False,,
cert42,random_forest,user_disjoint,1,98782,245,0.0024802089449494,0.481798934442675,194.2573973147605,True,,
cert42,random_forest,chronological,1,98781,292,0.002956034055132,0.6691067128845192,226.35284316933456,True,,
cert52,random_forest,user_disjoint,1,207972,379,0.0018223607024022,0.6331100967031187,347.4120660462823,True,,
cert52,random_forest,chronological,1,207090,475,0.0022936887343667,0.8163670014595308,355.9188259626405,True,,
cert62,random_forest,user_disjoint,1,418962,1,2.386851313484278e-06,,,False,,
cert62,random_forest,chronological,1,415219,38,9.151797003508992e-05,,,False,,
spedia,random_forest,user_disjoint,1,81,18,0.2222222222222222,0.9744158189591626,4.384871185316232,True,,
spedia,random_forest,chronological,1,76,30,0.3947368421052631,0.990286159239626,2.508724936740386,True,,
lanl,random_forest,user_disjoint,1,116981,46,0.0003932262504167,0.0034055287022989,8.660481589644235,True,,
lanl,random_forest,chronological,1,116299,0,0.0,,,False,,
cert42,random_forest,user_disjoint,2,100747,322,0.0031961249466485,0.5668357686409378,177.35094156294582,True,,
cert42,random_forest,chronological,2,98781,292,0.002956034055132,0.6683707868072306,226.1038859301543,True,,
cert52,random_forest,user_disjoint,2,209462,412,0.0019669438848096,0.5602231908574697,284.81910194996925,True,,
cert52,random_forest,chronological,2,207090,475,0.0022936887343667,0.8146970138142777,355.1907465069448,True,,
cert62,random_forest,user_disjoint,2,419670,9,2.144542140253056e-05,,,False,,
cert62,random_forest,chronological,2,415219,38,9.151797003508992e-05,,,False,,
spedia,random_forest,user_disjoint,2,59,27,0.4576271186440678,0.9999999999999998,2.1851851851851847,True,,
spedia,random_forest,chronological,2,76,30,0.3947368421052631,0.9916237660772328,2.51211354072899,True,,
lanl,random_forest,user_disjoint,2,115544,41,0.0003548431766253,0.0074824701135842,21.086695775706687,True,,
lanl,random_forest,chronological,2,116299,0,0.0,,,False,,
cert42,random_forest,user_disjoint,3,98963,229,0.0023139961399715,0.5968504269183508,257.9306061096976,True,,
cert42,random_forest,chronological,3,98781,292,0.002956034055132,0.6654248348301883,225.1072966074001,True,,
cert52,random_forest,user_disjoint,3,207440,439,0.0021162745854222,0.6655098593058477,314.47235811937367,True,,
cert52,random_forest,chronological,3,207090,475,0.0022936887343667,0.813220970498299,354.54722269577417,True,,
cert62,random_forest,user_disjoint,3,418723,3,7.164641063423791e-06,,,False,,
cert62,random_forest,chronological,3,415219,38,9.151797003508992e-05,,,False,,
spedia,random_forest,user_disjoint,3,53,32,0.6037735849056604,1.0,1.65625,True,,
spedia,random_forest,chronological,3,76,30,0.3947368421052631,0.9929570994105662,2.5154913185067675,True,,
lanl,random_forest,user_disjoint,3,117885,52,0.0004411078593544,0.0026353000361378,5.974275860771276,True,,
lanl,random_forest,chronological,3,116299,0,0.0,,,False,,
cert42,random_forest,user_disjoint,4,99001,327,0.0033029969394248,0.462007092475282,139.87511976191254,True,,
cert42,random_forest,chronological,4,98781,292,0.002956034055132,0.6639935428522867,224.62310327565663,True,,
cert52,random_forest,user_disjoint,4,205745,406,0.0019733164839971,0.6233056234375274,315.8670332368327,True,,
cert52,random_forest,chronological,4,207090,475,0.0022936887343667,0.814158188186499,354.9558298769307,True,,
cert62,random_forest,user_disjoint,4,418847,1,2.387506655174801e-06,,,False,,
cert62,random_forest,chronological,4,415219,38,9.151797003508992e-05,,,False,,
spedia,random_forest,user_disjoint,4,59,25,0.423728813559322,1.0000000000000002,2.3600000000000008,True,,
spedia,random_forest,chronological,4,76,30,0.3947368421052631,0.9930011911213246,2.515603017507356,True,,
lanl,random_forest,user_disjoint,4,115343,57,0.0004941782336162,0.003765010773271,7.618730484585957,True,,
lanl,random_forest,chronological,4,116299,0,0.0,,,False,,
cert42,day_gnn_strict_notime,chronological,0,99685,295,0.0029593218638711,0.6386052067799809,215.7944408063132,True,False,True
cert42,day_gnn_strict_notime,user_disjoint,0,98167,239,0.0024346267075493,0.5002540644788455,205.47464747989463,True,False,True
cert52,day_gnn_strict_notime,chronological,0,211790,494,0.0023324991737098,0.7531462782942162,322.89240947354665,True,False,True
cert52,day_gnn_strict_notime,user_disjoint,0,207867,414,0.0019916581275527,0.434304601013976,218.06182246128543,True,False,True
