domain,model,split,n_mean,n_positive_mean,base_rate_mean,PR_AUC_mean,PR_AUC_sd,lift_mean,n_seeds,n_seeds_evaluable,evaluable
cert42,day_gnn_strict_notime,chronological,99685.0,295.0,0.0029593218638711,0.6211162059520593,0.017603976712681373,209.88464064518993,5,5,True
cert42,day_gnn_strict_notime,user_disjoint,99132.0,272.4,0.0027455907357087,0.44427677047169745,0.058796832407605,165.3615064843303,5,5,True
cert42,random_forest,chronological,98781.0,292.0,0.002956034055132,0.6660468405799478,0.002583724109634868,225.31771561413635,5,5,True
cert42,random_forest,user_disjoint,99132.0,272.4,0.0027455907357087,0.5496816080329119,0.07605544320510592,206.53284062761267,5,5,True
cert52,day_gnn_strict_notime,chronological,211790.0,494.0,0.0023324991737098,0.7553869854423837,0.006141900718963088,323.85305596526814,5,5,True
cert52,day_gnn_strict_notime,user_disjoint,207697.2,410.0,0.00197411075683676,0.47755455167953953,0.05659909486376202,243.5960818801246,5,5,True
cert52,random_forest,chronological,207090.0,475.0,0.0022936887343667,0.8150389224057489,0.0014911444649624902,355.33981145475065,5,5,True
cert52,random_forest,user_disjoint,207697.2,410.0,0.00197411075683676,0.6254060355240105,0.03968681870839229,317.272355104585,5,5,True
cert62,random_forest,chronological,415219.0,38.0,9.151797003508992e-05,,,,5,0,False
cert62,random_forest,user_disjoint,419258.6,4.6,1.0961670002355292e-05,,,,5,0,False
lanl,random_forest,chronological,116299.0,0.0,0.0,,,,5,0,False
lanl,random_forest,user_disjoint,116210.0,48.8,0.00041993432854434,0.0036057501226088398,0.0024620205253537307,9.023747677828663,5,5,True
spedia,day_gnn_strict_notime,chronological,61.0,25.0,0.40983606557377056,0.9720451267889132,0.013456062234614687,2.3717901093649476,5,5,True
spedia,day_gnn_strict_notime,user_disjoint,65.6,25.8,0.4125229794452018,0.8071790110454546,0.14468598980709296,2.1808041279601573,5,5,True
spedia,random_forest,chronological,76.0,30.0,0.3947368421052631,0.9924214733082735,0.0015102004946364205,2.514134399047626,5,5,True
spedia,random_forest,user_disjoint,65.6,25.8,0.4125229794452018,0.9894593922392364,0.014443516764172713,2.664957324544828,5,5,True
