pair,n_A,n_B,domain-AUC (LR),domain-AUC (RF),dA_hat,MMD
cert_r42__cert_r52,50000,50000,0.9984±0.0000,1.0000±0.0000,1.9491±0.0000,0.0871±0.0000
cert_r42__cert_r62,50000,50000,0.9955±0.0000,1.0000±0.0000,1.8787±0.0000,0.1376±0.0000
cert_r42__spedia,50000,256,0.9998±0.0000,1.0000±0.0000,1.9766±0.0000,0.1561±0.0000
cert_r42__lanl,50000,50000,0.9986±0.0000,1.0000±0.0000,1.9863±0.0000,0.2564±0.0000
cert_r52__cert_r62,50000,50000,0.8683±0.0000,1.0000±0.0000,1.2257±0.0000,0.0995±0.0000
cert_r52__spedia,50000,256,0.9914±0.0000,1.0000±0.0000,1.9453±0.0000,0.1453±0.0000
cert_r52__lanl,50000,50000,0.9997±0.0000,1.0000±0.0000,1.9910±0.0000,0.3021±0.0000
cert_r62__spedia,50000,256,0.9997±0.0000,1.0000±0.0000,1.9766±0.0000,0.1571±0.0000
cert_r62__lanl,50000,50000,0.9988±0.0000,1.0000±0.0000,1.9856±0.0000,0.3161±0.0000
spedia__lanl,256,50000,0.9479±0.0000,0.9959±0.0000,1.5391±0.0000,0.1444±0.0000
