src,tgt,dA,mmd_linear,mmd_rbf,n_src,n_tgt
cert_r42,cert_r52,1.9491,2.3756349695009904,0.0871127681207633,50000,50000
cert_r42,cert_r62,1.8786999999999998,3.9118107462394542,0.1376361163949713,50000,50000
cert_r42,spedia,1.9765625,6.9123092551608725,0.15607623007734706,50000,256
cert_r42,lanl,1.9863,5.282537862307166,0.2564232416732004,50000,50000
cert_r52,cert_r62,1.2256999999999998,3.0181710963350112,0.09951190702973367,50000,50000
cert_r52,spedia,1.9453125,8.263536819280663,0.14532488790661824,50000,256
cert_r52,lanl,1.991,7.0371452485761505,0.302147124683407,50000,50000
cert_r62,spedia,1.9765625,8.799191190247003,0.1570623723331679,50000,256
cert_r62,lanl,1.9855999999999998,8.233762446796163,0.31607126039005373,50000,50000
spedia,lanl,1.5390625,3.7596285304408332,0.14443764886185773,256,50000
