pair,n_A,n_B,domain_AUC_LR,domain_AUC_RF,dA_hat,MMD,MMD_linear,auc_lr_mean,auc_lr_std,auc_rf_mean,auc_rf_std,da_mean,da_std,mmd_mean,mmd_std,mmd_linear_mean,mmd_linear_std,n_domain,n_mmd
cert_r42__cert_r52,50000,50000,0.9984±0.0000,1.0000±0.0000,1.9491±0.0000,0.0871±0.0000,2.3756±0.0000,0.9983643550000001,0.0,0.9999890650000001,0.0,1.9491,0.0,0.0871127681207633,0.0,2.3756349695009904,0.0,20000,4000
cert_r42__cert_r62,50000,50000,0.9955±0.0000,1.0000±0.0000,1.8787±0.0000,0.1376±0.0000,3.9118±0.0000,0.99550807,0.0,0.9999990675,0.0,1.8786999999999998,0.0,0.1376361163949713,0.0,3.9118107462394542,0.0,20000,4000
cert_r42__spedia,50000,256,0.9998±0.0000,1.0000±0.0000,1.9766±0.0000,0.1561±0.0000,6.9123±0.0000,0.99981689453125,0.0,1.0,0.0,1.9765625,0.0,0.15607623007734706,0.0,6.9123092551608725,0.0,256,256
cert_r42__lanl,50000,50000,0.9986±0.0000,1.0000±0.0000,1.9863±0.0000,0.2564±0.0000,5.2825±0.0000,0.9985808274999999,0.0,1.0,0.0,1.9863,0.0,0.2564232416732004,0.0,5.282537862307166,0.0,20000,4000
cert_r52__cert_r62,50000,50000,0.8683±0.0000,1.0000±0.0000,1.2257±0.0000,0.0995±0.0000,3.0182±0.0000,0.8683408775000001,0.0,0.99995720875,0.0,1.2256999999999998,0.0,0.09951190702973367,0.0,3.0181710963350112,0.0,20000,4000
cert_r52__spedia,50000,256,0.9914±0.0000,1.0000±0.0000,1.9453±0.0000,0.1453±0.0000,8.2635±0.0000,0.991424560546875,0.0,1.0,0.0,1.9453125,0.0,0.14532488790661824,0.0,8.263536819280663,0.0,256,256
cert_r52__lanl,50000,50000,0.9997±0.0000,1.0000±0.0000,1.9910±0.0000,0.3021±0.0000,7.0371±0.0000,0.999739975,0.0,1.0,0.0,1.991,0.0,0.302147124683407,0.0,7.0371452485761505,0.0,20000,4000
cert_r62__spedia,50000,256,0.9997±0.0000,1.0000±0.0000,1.9766±0.0000,0.1571±0.0000,8.7992±0.0000,0.999725341796875,0.0,1.0,0.0,1.9765625,0.0,0.1570623723331679,0.0,8.799191190247003,0.0,256,256
cert_r62__lanl,50000,50000,0.9988±0.0000,1.0000±0.0000,1.9856±0.0000,0.3161±0.0000,8.2338±0.0000,0.998838435,0.0,1.0,0.0,1.9855999999999998,0.0,0.31607126039005373,0.0,8.233762446796163,0.0,20000,4000
spedia__lanl,256,50000,0.9479±0.0000,0.9959±0.0000,1.5391±0.0000,0.1444±0.0000,3.7596±0.0000,0.947906494140625,0.0,0.99591064453125,0.0,1.5390625,0.0,0.14443764886185773,0.0,3.7596285304408332,0.0,256,256
