token,value,source_file,note
D:cert42-rf,0.959,transfer_matrix_phaseA_checkpoint.csv,RF user_disjoint diagonal mean over 5 seeds
D:cert42-lift,358x,transfer_matrix_phaseA_checkpoint.csv,RF user_disjoint diagonal lift
D:cert42-base,0.0027,transfer_matrix_phaseA_checkpoint.csv,base rate (= PR-AUC/lift) from RF user_disjoint diagonal
D:cert52-rf,0.945,transfer_matrix_phaseA_checkpoint.csv,RF user_disjoint diagonal mean over 5 seeds
D:cert52-lift,480x,transfer_matrix_phaseA_checkpoint.csv,RF user_disjoint diagonal lift
D:cert52-base,0.002,transfer_matrix_phaseA_checkpoint.csv,base rate (= PR-AUC/lift) from RF user_disjoint diagonal
D:cert62-rf,0.028,transfer_matrix_phaseA_checkpoint.csv,RF user_disjoint diagonal mean over 5 seeds
D:cert62-lift,3982x,transfer_matrix_phaseA_checkpoint.csv,RF user_disjoint diagonal lift
D:cert62-base,1.1e-05,transfer_matrix_phaseA_checkpoint.csv,base rate (= PR-AUC/lift) from RF user_disjoint diagonal
D:spedia-rf,0.989,transfer_matrix_phaseA_checkpoint.csv,RF user_disjoint diagonal mean over 5 seeds
D:spedia-lift,3x,transfer_matrix_phaseA_checkpoint.csv,RF user_disjoint diagonal lift
D:spedia-base,0.41,transfer_matrix_phaseA_checkpoint.csv,base rate (= PR-AUC/lift) from RF user_disjoint diagonal
D:lanl-rf,0.056,transfer_matrix_phaseA_checkpoint.csv,RF user_disjoint diagonal mean over 5 seeds
D:lanl-lift,124x,transfer_matrix_phaseA_checkpoint.csv,RF user_disjoint diagonal lift
D:lanl-base,0.00044,transfer_matrix_phaseA_checkpoint.csv,base rate (= PR-AUC/lift) from RF user_disjoint diagonal
D:cert42-temp,0.890,multiseed_releases_details_core.csv,"day_gnn_zero_shot user_disjoint diagonal (paper Temporal PR-AUC = temporal-GNN ID, not temporal-split); n_seeds=5; source=multiseed_releases_details_core.csv"
D:cert52-temp,0.854,multiseed_releases_details_core.csv,"day_gnn_zero_shot user_disjoint diagonal (paper Temporal PR-AUC = temporal-GNN ID, not temporal-split); n_seeds=5; source=multiseed_releases_details_core.csv"
D:spedia-temp,0.828,multiseed_releases_details_core.csv,"day_gnn_zero_shot user_disjoint diagonal (paper Temporal PR-AUC = temporal-GNN ID, not temporal-split); n_seeds=5; source=multiseed_releases_details_core.csv"
M:cert42-cert42,0.959,transfer_matrix_phaseA_checkpoint.csv,diagonal copied from D:cert42-rf; lift=358x
M:cert42-cert52,0.597,transfer_matrix_phaseA_checkpoint.csv,RF off-diag lift=317x; n_seeds=5
M:cert42-spedia,0.488,transfer_matrix_phaseA_checkpoint.csv,RF off-diag lift=2x; n_seeds=5
M:cert42-lanl,0.004,transfer_matrix_phaseA_checkpoint.csv,RF off-diag lift=9x; n_seeds=5
M:cert52-cert42,0.946,transfer_matrix_phaseA_checkpoint.csv,RF off-diag lift=324x; n_seeds=5
M:cert52-cert52,0.945,transfer_matrix_phaseA_checkpoint.csv,diagonal copied from D:cert52-rf; lift=480x
M:cert52-spedia,0.463,transfer_matrix_phaseA_checkpoint.csv,RF off-diag lift=1x; n_seeds=5
M:cert52-lanl,0.004,transfer_matrix_phaseA_checkpoint.csv,RF off-diag lift=9x; n_seeds=5
M:cert62-cert42,0.249,transfer_matrix_phaseA_checkpoint.csv,RF off-diag lift=85x; n_seeds=5
