source,target,model,seed,pr_auc,roc_auc,base_rate,prevalence,lift,n_pos,diagonal_protocol,cell_kind,best_epoch,best_val_pr,wall_s,peak_rss_gb
cert62,spedia,day_gnn_zero_shot,0,0.5113203248140017,0.6032380151387721,0.3203125,0.3203125,1.5963171116144443,82,full_source,off_diagonal,16.0,0.6735680962499302,1341.4742009000038,5.683815002441406
cert62,spedia,day_gnn_zero_shot,1,0.595937642999188,0.6980656013456688,0.3203125,0.3203125,1.8604882513145384,82,full_source,off_diagonal,4.0,0.7,490.07409910002025,8.75588607788086
cert62,spedia,day_gnn_zero_shot,2,0.454524701204919,0.6135407905803195,0.3203125,0.3203125,1.419003945225113,82,full_source,off_diagonal,16.0,0.5586393368451947,1244.879327200004,7.909336090087891
cert62,spedia,day_gnn_zero_shot,3,0.7707966177621978,0.8315110737314271,0.3203125,0.3203125,2.4063894408185686,82,full_source,off_diagonal,4.0,0.75,633.2281414000317,8.087913513183594
cert62,spedia,day_gnn_zero_shot,4,0.4965239097446458,0.6058312307261003,0.3203125,0.3203125,1.55012342554426,82,full_source,off_diagonal,12.0,0.584453852656369,1110.5337839000276,8.521488189697266
lanl,spedia,day_gnn_zero_shot,0,0.226578508842554,0.2283431455004205,0.3203125,0.3203125,0.7073670519962664,82,full_source,off_diagonal,40.0,0.2726948808383516,548.7866470000008,8.061058044433594
lanl,spedia,day_gnn_zero_shot,1,0.3251163644520212,0.5067984300532661,0.3203125,0.3203125,1.014997430484359,82,full_source,off_diagonal,54.0,0.0795471528438289,798.171379700012,8.009517669677734
lanl,spedia,day_gnn_zero_shot,2,0.6656180797973462,0.7034622932436222,0.3203125,0.3203125,2.0780271759526907,82,full_source,off_diagonal,72.0,0.1359082937107628,1232.6150293999815,5.942523956298828
lanl,spedia,day_gnn_zero_shot,3,0.4679326403666741,0.6424866834875246,0.3203125,0.3203125,1.4608628772422998,82,full_source,off_diagonal,44.0,0.2782824158910267,833.8595764000202,7.997867584228516
lanl,spedia,day_gnn_zero_shot,4,0.2783768448130099,0.3717409587888983,0.3203125,0.3203125,0.8690789301479334,82,full_source,off_diagonal,64.0,0.11153029380031,1102.027952799981,7.850997924804687
