source,target,model,seed,pr_auc,roc_auc,prevalence,lift,diagonal_protocol,cell_kind,wall_s,peak_rss_gb
cert42,cert52,random_forest,0,0.5932789927051749,0.991400964258022,0.0018842382818976,314.8641010030236,full_source,off_diagonal,12.814045700011777,1.6308212280273438
cert42,cert62,random_forest,0,0.1093980761273038,0.9835487868296772,3.156361862540441e-05,3465.954820505064,full_source,off_diagonal,13.959576499997638,2.322193145751953
cert42,spedia,random_forest,0,0.5544308130836042,0.7346159237454444,0.3203125,1.730905953041496,full_source,off_diagonal,11.818980199983343,1.756877899169922
cert42,lanl,random_forest,0,0.0065996505528488,0.9231216944227804,0.0004515854240541,14.614401177080715,full_source,off_diagonal,12.585812899982557,1.3104171752929688
cert52,cert42,random_forest,0,0.9443846178977932,0.99934576716763,0.0029232687349448,323.0577492272894,full_source,off_diagonal,33.984749700000975,1.7250022888183594
cert52,cert62,random_forest,0,0.4189497569385411,0.9966295643313592,3.156361862540441e-05,13273.18524249763,full_source,off_diagonal,35.512799399963114,2.4923095703125
cert52,spedia,random_forest,0,0.4768631284551767,0.6523338940285954,0.3203125,1.4887434254210394,full_source,off_diagonal,33.157193499966525,1.8079376220703125
cert52,lanl,random_forest,0,0.0046559217969834,0.7488652465636233,0.0004515854240541,10.310168462004116,full_source,off_diagonal,33.82913450000342,1.7724761962890625
cert62,cert42,random_forest,0,0.2416203163902802,0.8117315317368219,0.0029232687349448,82.65415816956614,full_source,off_diagonal,47.79112970002461,2.342445373535156
cert62,cert52,random_forest,0,0.2321259074175665,0.8478300304533698,0.0018842382818976,123.19349927642509,full_source,off_diagonal,48.09744389995467,2.5095367431640625
cert62,spedia,random_forest,0,0.5569073835042896,0.6913022147462853,0.3203125,1.7386376850865626,full_source,off_diagonal,47.49600370001281,2.238636016845703
cert62,lanl,random_forest,0,0.0177637706613745,0.9282176783856556,0.0004515854240541,39.33645710240227,full_source,off_diagonal,47.7120094000129,2.3831329345703125
spedia,cert42,random_forest,0,0.0991642697536743,0.949758544801113,0.0029232687349448,33.92239261764098,full_source,off_diagonal,1.4808580000535585,1.798370361328125
spedia,cert52,random_forest,0,0.0682295153104031,0.9227038433758576,0.0018842382818976,36.21066187111385,full_source,off_diagonal,2.0746090000029653,1.4869232177734375
spedia,cert62,random_forest,0,0.0856938157116821,0.9992692367741328,3.156361862540441e-05,2714.955364550954,full_source,off_diagonal,3.1985963999759406,2.1932411193847656
spedia,lanl,random_forest,0,0.0052607461124941,0.8957032630119327,0.0004515854240541,11.649503797677449,full_source,off_diagonal,1.5981532000005243,1.7362442016601562
lanl,cert42,random_forest,0,0.0031855822678251,0.5245672288686454,0.0029232687349448,1.0897329519330934,full_source,off_diagonal,16.277692200033925,1.3050308227539062
lanl,cert52,random_forest,0,0.0044338253066589,0.6517344646044736,0.0018842382818976,2.3531128463187856,full_source,off_diagonal,16.77280450001126,1.7673072814941406
lanl,cert62,random_forest,0,8.109065370060076e-05,0.6713893781549125,3.156361862540441e-05,2.5691177764812374,full_source,off_diagonal,18.015888299967628,2.395057678222656
